Name of Institution,Affiliation Number,State,District,locality,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee,extra
"INDUS GLOBAL SCHOOL,",630155,HIMACHAL PRADESH,MANDI,ChandigarhSadar Mandi,"VILLAGE JARLI, PO DUDAR, GAGAL ROAD, SADAR MANDI,",175001,"01905 223577
                        ,","01905 223577
                        ,",,,,chandan.bhatia@yahoo.com,http://www.indusworldschool.com,2008,4/7/2008 12:00:00 AM,VIJAYALAKSHMI NAGARAJAN,0,"M Com, B Ed",,5,7,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",Onam Educational Society,
MAHARAJA SURAJMAL PUBLIC SCHOOL,2131260,uttar pradesh,MUZAFFARNAGAR,SHAMLIBABRI,"MAHARAJA SURAJMAL PUBLIC SCHOOL P.O BANAT,DISTT-MUZAFFARNAGAR(U.P)",247776,"01398-270043
                        ,","01398-270043
                        ,",9838161560,9838161560,,msps.2009@rediffmail.com,,2009,4/8/2009 12:00:00 AM,YASH PAL SINGH,2,"M.sc,B.ed,M.ed",,20,12,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",SURAJMAL MEMORIAL EDUCATION SOCIETY," MAHARAJA SURAJMAL PUBLIC SCHOOL Affiliation Code:2131260 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:MAHARAJA SURAJMAL PUBLIC SCHOOL P.O BANAT,DISTT-MUZAFFARNAGAR(U.P) Phone Num: STD Code:05280 PhNo: 01398-270043 , Fax:9838161560 City: 247776 Email:msps.2009@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"The Millennium School, Mohali",1630588,PUNJAB,ROPAR,"ChandigarhPhase 11, Mohali","The Millennium School, Plot No 3, Sector 67",160062,"0172-6544021-25
                        ,","0172-6544021-25
                        ,",,,,komal18@usa.net,http://www.millenniummohali.com,2008,4/7/2008 12:00:00 AM,Komal Singh,0,BA(Hons in English); B.Ed; MA English; MA History;,,17,29,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Western Education Society," The Millennium School, Mohali Affiliation Code:1630588 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:The Millennium School, Plot No 3, Sector 67 Phone Num: STD Code: PhNo: 0172-6544021-25 , Fax: City: 160062 Email:komal18@usa.net, Website:http://www.millenniummohali.com Courses of study offered: This school follows the CBSE curriculum"
NALANDA HERITAGE SCHOOL,330443,BIHAR,NALANDA,NALANDANALANDA,"NEAR MAHABODHI COLLEGE, NIRPUR ROAD, NALANDA-803111",803111,"06112-281644
                        ,","06112-281644
                        ,",,,06112-281644,nhsnalanda@gmail.com,,2010,4/12/2010 12:00:00 AM,Mrs.Santosh,2,"M.A. , B.Ed.",,10,17,Secondary School,Provisional,1/4/2013,31/3/2016,NAVJEET EDUCATIONAL SOCIETY," NALANDA HERITAGE SCHOOL Affiliation Code:330443 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:NALANDA HERITAGE SCHOOL , NEAR MAHABODHI COLEGE, NIRPUR ROAD, NALANDA-803111 Phone Num: STD Code: PhNo: 06112-281644 , Fax: City: 803111 Email:nhsnalanda@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
SMDRSD COLLEGIATE SR. SEC. SCHOOL,1630649,PUNJAB,GURDASPUR,"CHAKKI BANKPS DIVISION 2, PATHANKOT",PATHANKOT,145001,"0186-2241905
                        ,","0186-2241905
                        ,",,,0186-2240705,smdrsdschool@yahoo.com,,2006,4/3/2006 12:00:00 AM,RENUKA KATOCH,0,"M.A., M.Phil., B.Ed.",,06,10,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019","S.M.D.R.S.D COLLEGE SOCIETY, PATHANKOT",
shree sangamanath international residential school,830215,KARNATAKA,BAGALKOT,BagalkotMudhol,"mudhol taluk, mudhol, bagalkot dist pin -587 313",587313,"08350-280145
                        ,","08350-280145
                        ,",28562544,28562544,08350-280145,lok_lib@yahoo.co.in,http://www.triveni.g,2007,6/2/2007 12:00:00 AM,vikas k m,2,m.sc.b.ed,,3,5,Secondary School,Provisional,1/4/2014,31/3/2019,triveni shikshana samste," SHREE SANGAMANATH INTERNATIONAL RESIDENTIAL SCHOOL Affiliation Code:830215 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:SRI SANGAMANATHA INTERNATIONAL RESIDENTIAL SCHOOL, MUDHOL TALUK, MUDHOL, BAGALKOT DIST PIN -587 313 Phone Num: STD Code: PhNo: 08350-280145 , Fax:28562544 City: 587313 Email:lok_lib@yahoo.co.in, Website:http://www.triveni.org Courses of study offered: This school follows the CBSE curriculum"
Smt. Kamla Agarwal Public School,2131258,uttar pradesh,GHAZIABAD,Hapur StationHapur,"Smt. Kamla Agarwal Public School,
Meerut Road, Hapur, Ghaziabad",245101,"01222303912
                        ,","01222303912
                        ,",,,,amarrai78@rediffmail.com,,2009,4/1/2010 12:00:00 AM,Smt. Himani Agarwal,2,,,,,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Smt. Kamla Agarwal Educational Society," Smt. Kamla Agarwal Public School Affiliation Code:2131258 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Smt. Kamla Agarwal Public School,Meerut Road, Hapur, Ghaziabad Phone Num: STD Code:0128 PhNo: 01222303912 , Fax: City: 245101 Email:amarrai78@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Nabil's Memorial School,1830010,SIKKIM,SOUTH DISTRICT,N.J.P.Jorethang,"Shanti Nagar, P.W.D Colony, Jorethang South Sikkim",737121,"9832316628
                        ,","9832316628
                        ,",,,,lewapradhan@yahoo.in,,1994,2/6/1994 12:00:00 AM,Ranjana Pradhan,0,M.A. B.Ed.,,16,19,Secondary School,Provisional,1/4/2014,31/3/2019,Jorethang Nabil Society," Baha''i School (Nabil''s Memorial School Affiliation Code:1830010 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Shanti Nagar, P.W.D Colony, Jorethang South Sikkim Phone Num: STD Code: PhNo: 9832316628 , Fax: City: 737121 Email:lewapradhan@yahoo.in, Website: Courses of study offered: This school follows the CBSE curriculum"
guru govind singh public school,2130959,uttar pradesh,MEERUT,Meerut citythana saroorpur,"vill.:- rohat, Distt.:- Meerut",250502,"0121-2885685
                        ,","0121-2885685
                        ,",21293,21293,,ggspschool@rediffmail.com,,2004,4/5/2005 12:00:00 AM,Shalu Malik,0,"M.A. , B.ed",,7,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",guru govind singh samriti shiksha parshar samiti,
Nirmal Public School,2131471,uttar pradesh,BIJNOUR,ChandpurNoorpur,"Dhampur Road Noorpur, Bijnour (U.P)",246734,"9837277107
                        ,","9837277107
                        ,",,,,yadav.ravendra.83@gmail.com,,2000,7/12/2000 12:00:00 AM,Mr.Ravendra Kumar,0,M.A B.Ed,,3,3,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018",Nirmal Public School Society," Nirmal Public School Affiliation Code:2131471 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Nirmal Public School, Dhampur Road Noorpur, Bijnour (U.P) Phone Num: STD Code: PhNo: 9837277107 , Fax: City: 246734 Email:yadav.ravendra.83@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Mother's pride Higher secondary school,3330112,CHATTISGARH,DURG,BHILAIKUMHARI,"khamharia Patan, Durg",491111,"0771-2241907(City office)
                        ,","0771-2241907(City office)
                        ,",2758565,2758565,0771-2243901,motherspridehrs@gmail.com,http://www.motherspridehrsschool.com,2008,7/4/2008 12:00:00 AM,D.K. Pradhan,1,M.A. M.Ed.,,20,16,Secondary School,Provisional,1/4/2013,31/3/2015,kanshi memorial society," Mothers pride school Khamharia Affiliation Code:3330112 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:mother pride school khamharia Phone Num: STD Code:0120 PhNo: 0771-2241907(City office) , Fax:2758565 City: 491111 Email:motherspridehrs@gmail.com, Website:http://www.motherspridehrsschool.com Courses of study offered: This school follows the CBSE curriculum"
"Bohra Central School,Parola.",1130243,MAHARASHTRA,JALGAON,AmalnerParola,"Shrinathji Nagar, Paroia, Tal:-Parola, Dist:- Jalgaon",425111,"(02597) 222406
                        ,","(02597) 222406
                        ,",,,,ranvijayee@rediffmail.com,,2009,6/15/2009 12:00:00 AM,A.J.John,0,M.Sc. M.ed.,,10,15,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2018","Lokmanya Tilak Education Society,Dhule",
St Joseph's English Medium School,930899,KERALA,KOTTAYAM,kottayamarpookara,"villoonni, kottayam-dist,kerala 686008",686008,"04812599320
                        ,","04812599320
                        ,",,,,stjosephvillooni@yachoo.co.in,,2003,6/2/2003 12:00:00 AM,jollymathew,0,"Ma,B.Ed",,4,17,Secondary School,Provisional,1/4/2015,31/3/2020,"st joseph educational and charitable trust,villoonni"," St Joseph's English Medium School Affiliation Code:930899 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:st joseph's english medium school,villoonni,kottayam-dist,kerala 686008 Phone Num: STD Code: PhNo: 04812599320 , Fax: City: 686008 Email:stjosephvillooni@yachoo.co.in, Website: Courses of study offered: This school follows the CBSE curriculum"
Gurukul International School,1730500,RAJASTHAN,SIKAR,FatehpurFatehpur,"Gurukul International School,
Harsawa, Tehsil-Fatehpur, Dist.Sikar, Rajasthan",332301,"01571-291291,284451
                        ,","01571-291291,284451
                        ,",,,01571-230777,gurukulprincipal.harsawa@gmail.com,,2009,4/15/2009 12:00:00 AM,Jyoti Ranjan Patra,0,"MPhil, B.Ed",,3,13,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Gurukul Shikshan Sansthan," Gurukul International School Affiliation Code:1730500 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Gurukul International School,Harsawa, Tehsil-Fatehpur, Dist.Sikar, Rajasthan Phone Num: STD Code: PhNo: 01571-291291,284451 , Fax: City: 332301 Email:gurukulprincipal.harsawa@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
"Mega Mind Sr. Sec. School, Tosham",530773,HARYANA,BHIWANI,BHIWANITOSHAM,"Mega Mind Sr. Sec. School, Bhiwani Road, Tosham Distt- Bhiwani (Haryana)",127040,"01253-258044
                        ,","01253-258044
                        ,",,,01253-258929,megamind.poonia@gmail.com,http://www.megamindschool.com,2005,4/1/2005 12:00:00 AM,Harpal Singh,,M.Sc. B.Ed.,,4,7,Senior Secondary,Provisional,1/4/2009,"31/
                    3/
                    2012","MAHESHMEGAMINDSHIKSHASAMITI,TOSHAM"," Mega Mind Sr. Sec. School, Tosham Affiliation Code:530773 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Mega Mind Sr. Sec. School, Bhiwani Road, Tosham Distt- Bhiwani (Haryana) Phone Num: STD Code: PhNo: 01253-258044 , Fax: City: 127040 Email:megamind.poonia@gmail.com, Website:http://www.megamindschool.com Courses of study offered: This school follows the CBSE curriculum"
MATA SUNDRI PUBLIC SCHOOL,1630777,PUNJAB,BHATINDA,Katar Singh WalaKot Fatta,"KOT SHAMIR, BATHINDA",151001,"01642436968
                        ,","01642436968
                        ,",251113,251113,01642436968,msps_kotshamir@yahoo.com,,2008,4/6/2008 12:00:00 AM,Mrs.HARJEET KAUR,2,"M.A, M.ED",,02,22,Secondary School,Provisional,1/4/2013,31/3/2016,"S.G.P.C, SRI AMRITSAR"," MATA SUNDRI PUBLIC SCHOOL, KOT SHAMIR Affiliation Code:1630777 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:MATA SUNDRI PUBLIC SCHOOL, KOT SHAMIR, BATHINDA Phone Num: STD Code: PhNo: 01642436968 , Fax: City: 151001 Email:msps_kotshamir@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Lotus National School,130215,ANDHRA PRADESH,,lingampallyMiyapur,"Madinaguda, Miyapur, Serilingampally Mandal, Rangareddy Distt.",500050,"04023047953
                        ,","04023047953
                        ,",,,,lns@lotusnationalschool.com,http://www.lotusnationalschool.com,2003,6/24/2004 12:00:00 AM,G.Anuradha,2,"BSc,BEd",,8,14,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Lotus Learning Systems Society," Lotus National School Affiliation Code:130215 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Lotus National School,Madinaguda,Miyapur,Serilingampally Mandal, Rangareddy Dist,Hyderabad. Phone Num: STD Code: PhNo: 04023047953 , Fax: City: 500050 Email:lns@lotusnationalschool.com, Website:http://www.lotusnationalschool.com Courses of study offered: This school follows the CBSE curriculum"
SHREE GUGANS SCHOOL,1930333,TAMILNADU,KANCHEEPURAM,TambaramSelaiyur,"54/5, School Road, Selaiyur, Tambaram,",600073,"914422398013
                        ,","914422398013
                        ,",,,,shreegugans@hotmail.com,http://www.shreegugans.com,2005,6/9/2005 12:00:00 AM,Mrs.S.Jayavanthini,,B.A,,5,5,Middle Class,Provisional,1/4/2012,31/3/2015,SARATHA TRUST," SHREE GUGANS SCHOOL Affiliation Code:1930333 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:54/5, School Road, Selaiyur, Tambaram, Phone Num: STD Code: PhNo: 914422398013 , Fax: City: 600073 Email:shreegugans@hotmail.com, Website:http://www.shreegugans.com Courses of study offered: This school follows the CBSE curriculum"
EURO INTERNATIONAL SCHOOL,530877,HARYANA,GURGAON,GURGAONSECTOR-10,"SECTOR 10 , GURGAON",122001,"01242212291 , 01242212290
                        ,","01242212291 , 01242212290
                        ,",01741224366,01741224366,,satyaviryadav50@yahoo.com,,2007,4/1/2007 12:00:00 AM,AMRITA BANERJI,2,"M.A. , B.Ed.",,7,18,Secondary School,Provisional,1/4/2014,31/3/2017,WOOD FIELD EDUCATIONAL SOCIETY," EURO INTERNATIONAL SCHOOL Affiliation Code:530877 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:EURO INTERNATIONAL SCHOOL SECTOR 10 , GURGAON Phone Num: STD Code:01734 PhNo: 01242212291 , 01242212290 , Fax:01741224366 City: 122001 Email:satyaviryadav50@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Dr.G.S.Kalyanasundaram Memorial School,1930223,TAMILNADU,THANJAVUR,DarasuramPatteeswaram,"Patteeswaram road,Chozhan Maligai,
Kumbakonam",612703,"0435 2417692
                        ,","0435 2417692
                        ,","23805387,9975181225","23805387,9975181225",0435 2417691,drgskmscbse@sify.com,,2007,6/11/2007 12:00:00 AM,Meenakshi Anandakrishnan,2,,,,,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",G.K.R.Foundation,
Woodward Public School,2131227,uttar pradesh,SANT RAVIDAS NAGAR,BhadohiBhadohi,"Civil Lines, Power House Road, Sant Ravidas Nagar, Bhadohi",221401,"09335789978
                        ,","09335789978
                        ,",224345,224345,,woodwardbhadohi@gmail.com,,2005,4/1/2005 12:00:00 AM,Smt. Shalini Mehra,2,B.SC. B.ED,,06,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Baleshwar Nath Educational Society,
doon public school,2130973,uttar pradesh,LAKHIMPUR KHERI,Gola Gokaran NathMohammdi,"dilawarpur, post mohammdi",262704,"05876-9336408334
                        ,","05876-9336408334
                        ,",01392-295300,01392-295300,,binoda_jha@rediffmail.com,,2003,4/1/2003 12:00:00 AM,shama zaidi,2,m.sc. b.ed,,6,10,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",monal educational society,
LEADERS INTERNATIONAL SCHOOL,830460,KARNATAKA,,gowribidanurgowribidanur,"RAYMOND FACTORY BYPASS ROAD, GUNDAPURA, CHIKKABALLAPUR",561208,"08155 292174
                        ,","08155 292174
                        ,",,,,leadersschoolgbd@gmail.com,http://www.leadersinternationalschool.com,2008,6/16/2008 12:00:00 AM,MissFELCI FERNANDES,0,"MA, B.Ed",,9,15,Secondary School,Provisional,1/4/2012,31/3/2015,PINAKINI EDUCATIONAL TRUST," LEADERS INTERNATIONAL SCHOOL Affiliation Code:830460 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:LEADERS INERNATIONAL SCHOOL, RAYMOND FACTORY BYPASS ROAD, GUNDAPURA, Phone Num: STD Code: PhNo: 08155 292174 , Fax: City: 561208 Email:leadersschoolgbd@gmail.com, Website:http://www.leadersinternationalschool.com Courses of study offered: This school follows the CBSE curriculum"
HOLY FAMILY ENGLISH MEDIUM SCHOOL,930889,KERALA,THIRUVANANTHAPURAM,THIRUVANANTHAPURAMTHIRUVALLAM POLICE STATION,"PACHALLOOR,
TRIVANDRUM-27",695027,"0471-2384932
                        ,","0471-2384932
                        ,",09544451982,09544451982,,holyfamilytvm@gmail.com,,2002,6/5/2002 12:00:00 AM,SR. ESWAMMA JOSEPH,0,,,,,Secondary School,Provisional,1/4/2015,31/3/2020,holy family charitable society," HOLYFAMILY ENGLISH MEDIUM SCHOOL Affiliation Code:930889 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:HOLYFAMILY ENGLISH MEDIUM SCHOOL,PACHALLOOR,TRIVANDRUM-27 Phone Num: STD Code: PhNo: 0471-2384932 , Fax: City: 695027 Email:holyfamilyeng@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
shifaly international school,1630495,PUNJAB,LUDHIANA,LudhianaBasti Jodhewal,"jain colony, rahon road, ludhiana-07",141007,"01612170005
                        ,","01612170005
                        ,",2577351,2577351,,shifalyschool@rediff.com,,2006,4/1/2006 12:00:00 AM,rosy jain,2,"m.ed, double m.a (economics, histy)",,9,12,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",shifaly public school managing committee," Shifaly International School Affiliation Code:1630495 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Shifaly International School, Rahon Road, Ludhiana-07 Phone Num: STD Code: PhNo: 01612170005 , Fax: City: 141007 Email:shifalyschool@rediff.com, Website: Courses of study offered: This school follows the CBSE curriculum"
shaswat chetna sr. sec. school,530882,HARYANA,SONEPAT,Ganaurganaur,"shaswat chetna sr. sec. school, ganaur",131101,"9813527640
                        ,","9813527640
                        ,",25506105,25506105,,shaswatchetna@rediffmail.com,,2004,4/1/2004 12:00:00 AM,Dimple Sharma,1,M.A. B.Ed.,,5,5,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019","saswat chetna educational social development research socieity, sonipat"," shaswat chetna sr. sec. school Affiliation Code:530882 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:shaswat chetna sr. sec. school, ganaur Phone Num: STD Code: PhNo: 9813527640 , Fax: City: 131101 Email:shaswatchetna@rediffmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
KAPIL VIDYA MANDIR SENIOUR SECONDARY SCHOOL,530720,HARYANA,MAHINDERGARH,MAHINDER GARHMAHINDER GARH,KAPIL VIDYA MANDIR SR. SEC. SCHOOL,123029,"01285 220308
                        ,","01285 220308
                        ,",9864028899,9864028899,01285 220308,kapiltiwari@rediffmail.com,http://www.xyz.com,1988,4/1/1989 12:00:00 AM,Raj Kumar Sharma,2,"M.A. , B.Ed.",,2,10,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2017",KAPIL SHIKSHA SAMITI," KAPIL VIDYA MANDIR SENIOUR SECONDARY SCHOOL Affiliation Code:530720 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:KAPIL VIDYA MANDIR SR. SEC. SCHOOL Phone Num: STD Code:0471 PhNo: 01285 220308 , Fax:9864028899 City: 123029 Email:kapiltiwari@rediffmail.com, Website:http://www.xyz.com Courses of study offered: This school follows the CBSE curriculum"
Golden Public School,531039,HARYANA,HISSAR,Uklana MandiUklana Mandi,"Near Surewala Chowk, Uklanan Mandi, Distt.-Hisar",125113,"01693-235166
                        ,","01693-235166
                        ,",,,,goldenpublicschool67@yahoo.in,,2003,4/1/2003 12:00:00 AM,RamKala Shoekand,0,"M.A. , M.Ed.",,15,30,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017","Golden Education Society, v&p.o.uklana Mandi, Near Surewala Chowk, Uklana Mandi, Teh & Distt. Hisar.",
Maxfort School,2730605,DELHI,south west delhi,PalamDwarka Sec-22,"MAxfort School, Sector - 7, plot no -9, new delhi",110075,"01128083434,01128083435
                        ,","01128083434,01128083435
                        ,",,,28083436,maxfortaffiliation@gmail.com,http://www.maxfortdwarka.in,2006,4/7/2006 12:00:00 AM,Priyanka Bhatkoti,,"M.A, B.ed",,3,6,Senior Secondary,,"31/
                    3/
                    2015",Samarpit Education Welfare and charitable Society,," Maxfort School Affiliation Code:2730605 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:MAxfort School, Sector - 7, plot no -9, new delhi Phone Num: STD Code: PhNo: 01128083434,01128083435 , Fax: City: 110075 Email:maxfortaffiliation@gmail.com, Website:http://www.maxfortdwarka.in Courses of study offered: This school follows the CBSE curriculum"
SAHI RAM SR SEC SCHOOL MEHAM,531064,HARYANA,ROHTAK,ROHTAKMEHAM,"MEHAM, ROHTAK",124112,"01257233511
                        ,","01257233511
                        ,",77709,77709,,www.sahiram.2011@radiffmail.com,,1999,4/1/1999 12:00:00 AM,Mr.JASVEER,2,"M.A,B.Ed",,2,12,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",meham education society,
govt girls sr sec school,2762078,DELHI,,-,school block shakarpur delhi,110092,"22481895
                        ,","22481895
                        ,",28622973,28622973,,,,1997,4/1/1991 12:00:00 AM,smt mithlesh swami,2,,,,,Senior Secondary,Provisional,1/4/2008,"31/
                    3/
                    2016",dir. of  education,
Shevaroys Valley School,1930332,TAMILNADU,SALEM,Salem JunctionYercaud,"Vazhavandi, Yercaud, Salem Dt, Tamilnadu",636601,"09486971901
                        ,","09486971901
                        ,",,,4281 222387,shevaroysvalleyschool@gmail.com,http://www.shevaroysgroup.com,2011,6/1/2011 12:00:00 AM,Mr Antony Vincentraj F,1,,,,,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",Ramasamy Udayar Devadass Educational Trust,
"DAV centenary public school,Nilokheri",530863,HARYANA,KARNAL,NilokheriNilokheri,"DAV centenary public school,Plot No 9,10 ,Near old grain market",132117,"01745-246074
                        ,","01745-246074
                        ,",,,,jainvatsal@yahoo.co.in,,1989,2/7/1989 12:00:00 AM,Suchitra Jain,0,M Sc B Ed,,2,18,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",DAV college trust and management," DAV centenary public school,Nilokheri Affiliation Code:530863 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:DAV centenary public school,Plot No 9,10 ,Near old grain market Phone Num: STD Code: PhNo: 01745-246074 , Fax: City: 132117 Email:jainvatsal@yahoo.co.in, Website: Courses of study offered: This school follows the CBSE curriculum"
The Abs Rowland School,2131324,uttar pradesh,VARANASI,ShivpurShivpur,"Raghuvanshi Nagar, Bypass Road, Harhua, Pindra,",221204,"0542-2281616
                        ,","0542-2281616
                        ,",,,,rowlandschool99@gmail.com,,2004,4/1/2005 12:00:00 AM,Mr. Anuj Sharma,1,,,,,Secondary School,Provisional,1/4/2014,31/3/2016,Shri Sankata Prasad Singh Memorial Rowland Society," The Ab's Rowland School Affiliation Code:2131324 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:The Abss Rowland School, Raghuvanshi Nagar, Bypass Road, Harhua Phone Num: STD Code: PhNo: 0542-2281616 , Fax: City: 221204 Email:rajeshbijawat@gmail.com, Website: Courses of study offered: This school follows the CBSE curriculum"
St. Xavier International School,1630584,PUNJAB,PATIALA,PatialaSadar,"Shanti Nagar, Tafazalpura",147001,"0175-2224764
                        ,","0175-2224764
                        ,",,,0175-2224764,gurjot_khatter@yahoo.co.in,,1999,4/5/1999 12:00:00 AM,Mandeep Bajwa,0,"M.A ,B.Ed",,3,12,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",P & G Educational Society,
Sri Guru Hargobind Public School,1630743,PUNJAB,LUDHIANA,"Ludhiana Railway StationSadar Police Station, Ludhiana","Village Thakkarwal, P.O. Lalton Kalan, Ludhiana.",142022,"0161-2806079
                        ,","0161-2806079
                        ,",,,,sghpsthakkarwal@gmail.com,,1991,4/1/1991 12:00:00 AM,Mrs. SAMRAT,2,,,,,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",Sri Guru Hargobind Educational Society,
NANKANA SAHIB PUBLIC HIGH SCHOOL RAMPUR CHHANNA,1630677,PUNJAB,SANGRUR,NABHAAMARGARH,"NANKANA SAHIB PUBLIC HIGH SCHOOL VILLAGE RAMPUR CHHANNA, P.O. AMARGARH",148022,"01675287512-13
                        ,","01675287512-13
                        ,",,,,gagan_singla4@yahoo.com,,1996,4/1/1996 12:00:00 AM,RAJINDER PAL KAUR SANDHU,0,"M.A.,B.Ed.",,15,10,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",NANKANA SAHIB EDUCATION TRUST LUDHIANA," NANKANA SAHIB PUBLIC HIGH SCHOOL RAMPUR CHHANNA Affiliation Code:1630677 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:NANKANA SAHIB PUBLIC HIGH SCHOOL VILLAGE RAMPUR CHHANNA, P.O. AMARGARH Phone Num: STD Code: PhNo: 01675287512-13 , Fax: City: 148022 Email:gagan_singla4@yahoo.com, Website: Courses of study offered: This school follows the CBSE curriculum"
SHAHEED BHAGAT SINGH CONVENT SCHOOL,1730475,RAJASTHAN,JAIPUR,ASHALPUR(JOBNER)JOBNER,"HINGONIA (JOBNER), JHOTWARA, JAIPUR",303328,"01424230519
                        ,","01424230519
                        ,",2456052,2456052,01424230520,sbschooljpr@gmail.com,www.sbsschool.net,2003,7/1/2007 12:00:00 AM,ABHISHEK BHARDWAJ,0,"B.Sc., B.Ed.",,10,5,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",SHAHEED BHAGAT SINGH RESEARCH & DEVELOPMENT INSTITUTE,
Veena memorial Sr. Sec. School,1730525,RAJASTHAN,KARAULI,Hindaun CityKarauli,Gulab Bag Karauli (Raj.) 322241,322241,"07464-220281
                        ,","07464-220281
                        ,",01681-246785,01681-246785,07464-220784,vmsseewa@yahoo.com,http://www.vmsseewa.org,1992,7/1/1992 12:00:00 AM,Mr.fazle Ahamed,2,"M.A,B.Sc.,BEd.",,08,20,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",veena memorial sseewa society karauli,
